stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
SD,South Dakota,"Yes; by endorsement, temporary permit 100 application fee and 50 temporary permit fee, 50 is refundable if denied application",yes,NA,yes,yes,yes,yes,"500; 125 anatomy/physiology/kinesiology, 40 pathology, 200 massage/bodywork theory/assessment/practice,10 business/professionalism, 6 ethics, 125 in any related massage modality, 200 hours must be supervised by instructor",NA,NA,yes,yes,yes,100,65,NA,NA,NA,NA,8/2 years,NA,yes,NA,NA,50,30.3,NA,164059.75,56274,882235,2.2,84,2.7,8.8,1.7,0,3.9,291,10.76515837,22391.52941,715,112.8692308,234768,65,17.5,36400,145,12.45454545,25905.45455,674,16.15022255,33592.46291,295,14.6116726,30392.279,NA,NA,NA,291,14.26021277,29661.24255,474,20.76898734,43199.49367,122,18.38548235,38241.80328,99,NA,NA,122,15.46680328,38241.80328,20,62.5,130000,215,41.20357798,85703.4422,25,NA,NA,416,29.32730924,61000.80321,547,73.10489945,184611.5384,10,56,116480,443,270,416,409,238,246,229,640,101,84,984.9367089,1188.975,1027.512658
TN,Tennessee,No,yes,NA,NA,yes,yes,NA,"500; 200 hours Health Sciences, 200 hours Massage, 85 hours Allied Modalities, 10 hours Ethics, 5 hours TN Massage Law",yes,NA,yes,yes,yes,NA,275,NA,NA,12 weeks,"Yes, 2, anyone licensed in healthcare, doctor, nurse, dentist, and so on","24/2 years only 8 allowed online, TN law and ethics needed",2,NA,yes,yes,399,34.06798246,56451.18734,177130.2917,52375,6770010,16.8,77.3,2.2,0.3,1.8,0.1,5.5,717,11.88720363,24725.38354,725,100.6875862,209430.1793,369,20.80694842,43278.45272,553,13.66455696,28422.27848,767,16.1365515,33564.02712,759,13.81539301,28736.01747,130,15.8,32864,731,14.39842681,29948.72777,638,19.35854232,40265.76803,530,29.20931831,60755.38208,341,57.69230769,120000,530,13.41333333,60755.38208,172,37.28395062,77550.61728,630,86,178880,462,17.27737226,35936.93431,233,12.63286713,26276.36364,736,28.38331522,160224.3524,34,62.5,130000,1294,434,1324,1068,1157,1049,1150,1515,476,451,1282.068027,1932.736986,1524.785714
TX,Texas,"Yes; by endorsement, States and Territories with Requirements Substantially Equivalent to Texas
Texas Massage Therapist License: Alabama, Arkansas, Delaware (500-hour program), District of Columbia, Georgia, Idaho, Kentucky, Louisiana, Michigan, Missouri, Nebraska, Nevada, New Hampshire, New Mexico, New York, North Dakota, Ohio, Oregon, Pennsylvania, South Dakota, Tennessee, Utah, Washington, West Virginia, and Wisconsin.
If you obtained your massage therapist license in one of these states, go here to apply for your Texas license.  https://www.tdlr.texas.gov/mas/masstate.htm
States and Territories Requiring Six Months of Licensure for Texas License Eligibility
Texas Massage Therapist License: Alaska, Arizona, California, Colorado, Connecticut, Delaware (300-hour program) Florida, Hawaii, Illinois, Indiana, Iowa, Maine, Maryland, Massachusetts, Mississippi, New Jersey, North Carolina, Oklahoma, Rhode Island, South Carolina and Virginia.
If you obtained your massage therapist license in one of these states, go here to apply for your Texas license.
Your six months of licensure will be confirmed by the letter of certification required from the state in which you are currently licensed (see #10 in the application instructions).",yes,NA,NA,yes,yes,yes,"500; 200 hours of massage therapy techniques and theory and the practice of manipulation of soft tissue,
with at least 125 hours of Swedish massage therapy techniques:
• 50 hours of anatomy:
• 25 hours of physiology:
• 50 hours of kinesiology:
• 40 hours of pathology:
• 20 hours of hydrotherapy:
• 45 hours of massage therapy laws and rules, business practices and professional ethics:
• 20 hours of health and hygiene, first aid, universal precautions, and cardiopulmonary resuscitation
(CPR);
• a 50-hour internship.",Yes; and a state jurisprudence exam,NA,yes,yes,yes,100,NA,NA,1,NA,NA,NA,NA,NA,NA,yes; and state juriprudence exam,543,35.99070632,53291.50579,195904.4832,60629,28701845,12.3,73.5,2.7,0.5,5,0.1,39.6,716,11.98338346,24925.43759,713,96.7601683,201261.1501,596,36.50170648,75923.54949,500,18.61340726,38715.8871,761,18.23970434,37938.58502,753,16.08739708,33461.78592,314,18.23726115,37933.50318,758,16.26361478,33828.31873,696,30.34931753,63126.58046,612,28.37904019,59028.40359,540,57.80043346,120224.9016,612,15.14460784,59028.40359,463,56.29910714,117102.1429,687,41.64257813,86616.5625,523,37.2456979,77471.05163,524,27.55280172,57309.82759,762,31.0808727,170319.5118,446,54.72074468,113819.1489,1326,1083,1404,1276,1364,1277,1357,1513,916,1032,1388.899217,2115.510753,1703.976517
UT,Utah,"Yes; by endorsement with similar paperwork to new applicants; https://le.utah.gov/xcode/Title58/Chapter1/58-1-S302.html?v=C58-1-S302_2020051220200512  Effective 5/12/2020
58-1-302.  License by endorsement.
(1)	Subject to Subsections (2), (3), (4), and (5), the division shall issue a license without examination to a person who has been licensed in a state, district, or territory of the United States if:
(a)	after being licensed outside of this state, the person has at least one year of experience in the state, district, or territory of the United States where the license was issued
(b)	the person's license is in good standing in the state, district, or territory of the United States where the license was issued; and
(c)	the division determines that the license issued by the state, district, or territory of the United States encompasses a similar scope of practice as the license sought in this state.
(2)	The division, in consultation with the applicable licensing board, may make rules in accordance with Title 63G, Chapter 3, Utah Administrative Rulemaking Act, prescribing the administration and requirements of this section.
(3)	Notwithstanding the provisions of Subsection (1), the division may refuse to issue a license to a person under the provisions of this section if:
(a)	the division determines that there is reasonable cause to believe that the person is not qualified to receive a license in this state; or
(b)	the person has a previous or pending disciplinary action related to the person's license.
(4)	Before a person may be issued a license under this section, the person shall:
(a)	pay a fee determined by the department under Section 63J-1-504; and
(b)	produce satisfactory evidence of the person's identity, qualifications, and good standing in the occupation or profession for which licensure is sought.
(5)	In accordance with Section 58-1-107, licensure endorsement provisions in this section are subject to and may be supplemented or altered by licensure endorsement provisions or multistate licensure compacts in specific chapters of this title.
(6)	On or before October 1, 2022, the division shall provide a written report to the Business and Labor Interim Committee regarding the effectiveness and sufficiency of the provisions of this section at ensuring that persons receiving a license without examination under the provisions of this section are qualified to receive a license in this state.",yes,NA,NA,yes,yes,yes,"600; complete 1000 hours as apprentice or 125 hours of anatomy, physiology and kinesiology
40 hours of pathology
285 hours of massage theory and techniques, including basic Swedish and hands-on instruction
35 hours of ethics, professional standards, and businesses practices
15 hours of sanitation, universal precautions, CPR and first aid
100 hours of student clinic",yes,NA,yes,yes,yes,95,60,52,NA,NA,NA,NA,"2, all expire May 31st of odd numbered years, Massage therapist application processing fee: $95
Massage apprentice application processing fee: $70
Licensing fee: $60
Renewal fee: $52",NA,yes,yes,614,41.90879479,38223.44689,319213.4516,71414,3161105,1.3,85.7,3.2,1.1,2.4,0.9,14.2,711,11.96796765,24893.37271,721,111.6920943,232319.5562,491,36.13826964,75167.60085,551,17.94124319,37317.78584,784,16.06820791,33421.87245,768,19.8288737,41244.05729,85,NA,NA,769,16.5936606,34514.81404,696,24.68965517,51354.48276,623,31.64836901,65828.60754,570,44.72790201,93034.03618,623,16.99839486,65828.60754,360,51.23239437,106563.3803,552,62.5,130000,587,26.82755633,55801.31716,165,16.48706897,34293.10345,756,54.98297619,90649.98194,115,62.5,130000,1511,837,1443,1168,1294,1222,1421,1516,762,237,1345.203463,1763.542714,1523.491342
VT,Vermont,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,25.88157895,41785.71429,193815.5455,60782,626299,1.2,94.1,2,0.3,1.9,0,2,608,12.02055921,25002.76316,715,91.87062937,191090.9091,65,18.35714286,38182.85714,236,22.5,46800,781,17.18117798,35736.85019,694,14.17867435,29491.64265,95,18.05882353,37562.35294,655,15.78435115,32831.45038,522,28.80076628,59905.59387,207,18.59765886,38683.13043,124,NA,NA,207,16.05629139,38683.13043,120,56.95652174,118469.5652,453,46.5,96720,105,26.5,55120,649,16.0990566,33486.03774,662,58.18175227,188617.5083,48,62.5,130000,714,245,851,448,520,589,575,1070,110,24,1769.772727,1768.75,1781.409091
VA,Virginia,Yes; by endorsement,yes,NA,NA,yes,yes,yes,500;,yes,NA,yes,yes,yes,140,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,680,30.07683824,68202.33893,252271.3699,72577,8517685,19.2,67.4,4.1,0.3,6.5,0.1,9.5,727,11.99621733,24952.13205,744,93.15793011,193768.4946,667,35.43403298,73702.78861,706,14.05028329,29224.58924,759,17.26605402,35913.39236,759,13.53886693,28160.84321,364,17.40521978,36202.85714,747,18.32095047,38107.57697,686,22.75437318,47329.09621,655,41.90432249,87160.99077,641,50.78413919,105631.0095,655,15.18835878,87160.99077,241,55.64048673,115732.2124,734,62,128960,649,30.93913713,64353.40524,501,18.07207207,37589.90991,755,21.16937086,176744.9007,363,58.35735736,121383.3033,1338,635,1352,1245,1287,1302,1326,1731,682,569,1686.438283,2594.399586,2048.092129
WA,Washington,"Yes; by endorsement, Licensing for out-of-state applicants
New rules for out-of-state applicants went into effect July 31, 2017 as follows:
WAC 246-830-035, Licensing for out-of-state applicants, allows for licensure by endorsement if the applicant holds a massage therapy license in good standing in another state, and the state’s education and training requirements are substantially equivalent to Washington State.

WAC 246-830-037, Transfer programs and transfer of prior education and clock hours, allows for licensure by educational endorsement if the applicant went to an out-of-state school, does not hold an out-of-state massage therapy license, and transferred credits to and successfully completed a board-approved transfer program.
",yes,NA,NA,NA,NA,NA,"500; completed in no less than six months and must consist of the following:
One hundred thirty hours of anatomy, physiology, and kinesiology with a minimum of 40 hours of kinesiology.
Fifty hours of pathology.
Two hundred sixty-five hours of theory and practice of massage. A maximum of 50 of these hours may include time spent in a student clinic.
Fifty-five hours of clinical/business practices.",yes,NA,yes,yes,yes,NA,NA,NA,1,NA,NA,24/2 years,NA,NA,yes,yes,716,44.77513966,83187.28548,417702.8608,74073,7535591,3.9,74.8,6,1.3,8.8,0.7,12.9,723,14.81690871,30819.17012,729,107.9814815,224601.4815,546,36.5989011,76125.71429,659,18.16938543,37792.3217,800,19.74436875,41068.287,765,23.14339869,48138.26928,421,30.95130641,64378.71734,753,21.66966799,45072.90943,725,32.30071724,67185.49186,673,32.09871807,66765.33358,649,73.11761732,152084.644,673,29.0230312,66765.33358,595,52.8697479,109969.0756,741,38.25134725,79562.80228,625,28.3596,58987.968,377,18.63636364,38763.63636,796,28.97013819,144755.3072,483,54.79653209,113976.7867,1560,1305,1527,1454,1508,1500,1514,1511,1256,523,1993.500975,3016.75,2382.261209
WV,West Virginia,"Yes; For application using Reciprocity, please provide us with a copy of your current license from the State where you practice along with copies of your current continuing education units (certificates) if licensed over two year and proof of the successful completion of the NCBTMB exam or MBLEx examination sent directly from the national organization.  http://www.wvmassage.org/faq.asp?show=q1#q1",yes,NA,NA,yes,yes,NA,500;,yes,NA,yes,yes,yes,50,300,200,NA,14 days,NA,24/2 years,2,NA,yes,yes,128,25.105,47500,82370,44097,1805832,3.8,93,1.9,0.1,0.7,0,1.4,613,10.12622349,21062.54486,701,129.9072753,270207.1327,125,13.25,27560,206,12.65734266,26327.27273,724,14.91639503,31026.10166,692,12.76094653,26542.76879,170,18.296875,38057.5,669,12.91296712,26858.9716,529,21.13090737,43952.28733,224,21.85114214,45450.37566,124,NA,NA,224,11.87922705,45450.37566,85,33.27272727,69207.27273,450,62.5,130000,120,17.22058824,35818.82353,668,15.60258234,32453.37126,719,56.28755216,214608.3456,73,27.16981132,56513.20755,522,238,450,346,294,486,231,1265,299,53,894.0851064,1318.666667,950.3297872
WI,Wisconsin,"Yes; stated as reciprocity, but the rules and checklist the same as the new applicants and must have same school hours of education, no mention of work history experience or having been licensed for so many months or years if under on hours. https://dsps.wi.gov/Credentialing/Health/fm2960.pdf  Also, with a 6 month temporary permit",yes,NA,NA,yes,yes,yes,600;,"yes, and a state jurisprudence exam with 85% score or better",NA,yes,yes,yes,75,"75, new applicants; 82, reciprocity applicants",62,1,NA,NA,NA,"2, every odd year on 2/28",yes,yes,"yes, and a state jurisprudence exam with 85% score or better",368,39.39944904,44201.72511,170618.9615,60773,5813568,6.4,85.3,2.5,0.9,2.8,0,6.9,692,10.96531792,22807.86127,707,84.38401697,175518.7553,448,29.4151436,61183.49869,285,14.06734694,29260.08163,798,16.80078321,34945.62907,718,14.28203343,29706.62953,84,20.98101266,43640.50633,721,18.05622053,37556.9387,668,21.53592814,44794.73054,430,30.28330149,62989.26711,437,52.62043269,109450.5,430,14.50914634,62989.26711,315,43.20714286,89870.85714,588,44.64516129,92861.93548,185,25.97366667,54025.22667,414,15.14043702,31492.109,737,41.93569199,185654.2402,139,60.27522936,125372.4771,1417,435,1320,843,1019,951,933,1517,592,285,1556.924188,2005.742616,1753.198556
WY,Wyoming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,25,NA,240742.7143,61584,577737,0.6,91.5,2.4,2.8,1,0.2,10,415,11.13303303,23156.70871,701,115.7703281,240802.2825,35,NA,NA,47,16.5106383,34342.12766,418,15.11958134,31448.72919,384,12.86139842,26751.70871,15,24,49920,367,14.09553571,29318.71429,410,19.53315854,40628.96976,41,19.1014608,39731.03846,89,26.49951923,55119,41,12,39731.03846,10,62.5,130000,215,40.68518519,84625.18519,50,15,31200,478,22.41213389,46617.23849,541,69.83210721,173750.3586,9,62.5,130000,260,177,317,184,138,188,193,562,68,29,804.625,927.125,824.7708333
