stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,server_jobsListed,server_avgHourly,server_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,teacher_jobsListed,teacher_avgHourly,teacher_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,yogaInstructor jobsListed,yogaInstructor avgHourly,yogaInstructor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
PA,Pennsylvania,"Yes by endorsement, or temporary permit, http://www.pacodeandbulletin.gov/Display/pacode?file=/secure/pacode/data/049/chapter20/s20.21.html&d=reduce   ",NA,NA,NA,yes,yes,NA,"600;Massage therapy programs must provide at least 600 hours of in-class, postsecondary education instruction, including:

   (1)  At least 175 contact hours of instruction in anatomy and physiology, kinesiology and pathology, including training in the human immunodeficiency virus and related risks.

   (2)  At least 250 contact hours in massage therapy and bodywork assessment, theory and practice including sanitation, safety and hygiene.

   (3)  At least 25 contact hours in professional ethics, and business and law related to a massage therapy business.

   (4)  At least 150 contact hours in related courses appropriate to a massage therapy curriculum as set forth in §  20.13 (related to required knowledge base), including cardiopulmonary resuscitation.

 (b)  Massage therapy programs may meet the 600-hour requirement through both didactic and clinical courses.

 (c)  Externship hours may not be included in the 600-hour minimum education instruction. For purposes of this section, an externship is an offsite practical technique learning experience where the student’s supervision is provided by a licensed massage therapist, supervisor or other appropriate licensed health professional.

 (d)  Hours for practicing assigned techniques under indirect supervision may not be included in the 600-hour minimum education instruction.

",yes,NA,yes,yes,yes,100; 65 for temp permit,NA,125 - 175; ,1,NA,NA,24,2,NA,NA,554,33.25338448,43905.93006,172920.62,60905,12807060,11.2,80.1,2.6,0.2,3.6,0,7.6,729,11.56783265,24061.09191,726,22.48588154,46770.63361,519,33.59143969,69870.19455,501,17.34431138,36076.16766,787,18.03867217,37520.43812,771,16.81040856,34965.64981,408,15.83333333,32933.33333,786,19.50662214,40573.77405,534,24.44101124,50837.30337,766,17.98488182,37408.55418,389,38.22671544,79511.56812,834,39.40928058,83994.74341,606,16.37457286,63545.17409,386,27.96875,58175,652,51.6156654,107360.584,400,39.51716456,82195.70228,176,25.63920455,53329.54545,793,25.39957755,171114.4956,264,45.05025126,93704.52261,264,40.57480315,84395.59055,1537,712,1457,1237,1411,1410,1380,2276,956,260,1975.321429,3132.827103,2458.420635
RI,Rhode Island,1,yes,NA,yes,yes,yes,NA,500;,yes,NA,yes,yes,yes,65,NA,37.5,1,NA,3 character letters,12,1,NA,yes,626,40.9754393,44566.61038,252537.9,64340,1057315,6.7,80.7,3.1,0.4,3.4,0.1,15.9,719,13.53511822,28153.0459,765,24.04019608,50003.60784,673,23.6218425,49133.43239,616,17.97159091,37380.90909,839,17.19100119,35757.28248,735,18.50442177,38489.19728,564,18.73315603,38964.96454,784,23.91705995,49747.48469,707,24.50106082,50962.20651,785,22.0188633,45799.23567,571,48.51201502,100904.9912,820,33.53082317,53302.31042,554,18.30911552,84187.04537,186,32.22727273,67032.72727,770,43.45965418,90396.08069,610,22.70491803,47226.22951,170,25.82352941,53712.94118,763,121.2123198,116587.4574,524,61.0639313,127012.9771,261,60.14940239,125110.757,1381,720,1489,1401,1417,1491,1433,2871,1108,172,3056.946429,4065.912162,3642.16369
SC,South Carolina,Yes by endorsement; school approved and licensing exam has to be reviewed by the South Carolina Board of Massage Therapy,yes,NA,NA,yes,yes,NA,500;,yes,NA,yes,yes,yes,50,100,NA,NA,NA,NA,12/2years,NA,NA,yes,496,35.32258065,81450,181933.1714,52306,5084127,26.6,67,2.4,0.5,1.6,0.1,5.8,687,11.80840611,24561.48472,719,14.32058414,29786.81502,514,22.98151751,47801.55642,636,14.76847484,30718.42767,766,14.82863577,30843.5624,713,13.28225806,27627.09677,267,14.89513109,30981.87266,763,16.00458716,33289.54128,675,23.74684543,49393.43849,756,21.53164683,44785.8254,274,33.5925744,69872.55474,830,41.46114458,82484.32229,535,16.74726882,57387.43832,233,32.28310502,67148.85845,701,23.34698609,48561.73107,541,30.80234834,64068.88454,219,26.28538813,54673.60731,763,25.82311927,200707.6173,335,54.81578947,114016.8421,210,62.5,130000,1341,273,1411,1293,1317,1254,1267,1527,553,526,1260.696911,1717.110151,1462.866795
SD,South Dakota,"Yes by endorsement; temporary permit 100 application fee and 50 temporary permit fee, 50 is refundable if denied application",yes,NA,yes,yes,yes,yes,"500; 125 anatomy/physiology/kinesiology, 40 pathology, 200 massage/bodywork theory/assessment/practice,10 business/professionalism, 6 ethics, 125 in any related massage modality, 200 hours must be supervised by instructor",NA,NA,yes,yes,yes,100,65,NA,NA,NA,NA,8/2 years,NA,yes,NA,35,28.53333333,NA,164059.75,56274,882235,2.2,84,2.7,8.8,1.7,0,3.9,257,10.73479532,22328.37427,295,10.48979167,21818.76667,75,17.5,36400,136,12.6625,26338,500,16.42423313,34162.40491,319,16.72595745,34789.99149,25,12.3,25584,660,17.21602273,35809.32727,383,NA,NA,512,28.71832684,59734.11983,95,33.65384615,70000,799,40.61807259,100370.2105,95,13.42295082,83883.13636,46,NA,NA,218,44.30487805,92154.14634,20,NA,NA,84,29,60320,526,49.68250951,204111.7023,15,62.5,130000,5,62.5,130000,443,270,416,409,238,246,229,640,101,88,957.7682927,1189.326087,1007.560976
TN,Tennessee,No,yes,NA,NA,yes,yes,NA,"500; 200 hours Health Sciences, 200 hours Massage, 85 hours Allied Modalities, 10 hours Ethics, 5 hours TN Massage Law",yes,NA,yes,yes,yes,NA,275,NA,NA,12 weeks,"Yes, 2, anyone licensed in healthcare, doctor, nurse, dentist, and so on","24; only 8 allowed online, TN law and ethics needed",2,NA,yes,383,32.18390805,56340.78212,177130.2917,52375,6770010,16.8,77.3,2.2,0.3,1.8,0.1,5.5,657,11.7587519,24458.20396,729,12.6109831,26230.84485,436,21.10866983,43906.03325,527,13.35958254,27787.93169,775,14.51629032,30193.88387,729,13.0792524,27204.84499,321,15.37025316,31970.12658,753,16.39508632,34101.77955,614,18.03253425,37507.67123,767,23.19476755,48245.1165,282,35.53511706,73913.04348,808,33.02519183,77264.29332,491,13.72912424,67789.66667,222,19.16580311,39864.87047,639,110,228800,470,18.79518072,39093.9759,244,26.88702929,55925.02092,752,24.88647606,196623.1755,154,31.24031008,64979.84496,44,62.5,130000,1294,434,1324,1068,1157,1049,1150,1515,476,448,1263.931507,1903.111732,1501.203196
TX,Texas,"Yes by endorsement; States and Territories with Requirements Substantially Equivalent to Texas
Texas Massage Therapist License: Alabama, Arkansas, Delaware (500-hour program), District of Columbia, Georgia, Idaho, Kentucky, Louisiana, Michigan, Missouri, Nebraska, Nevada, New Hampshire, New Mexico, New York, North Dakota, Ohio, Oregon, Pennsylvania, South Dakota, Tennessee, Utah, Washington, West Virginia, and Wisconsin.

If you obtained your massage therapist license in one of these states, go here to apply for your Texas license.  https://www.tdlr.texas.gov/mas/masstate.htm

States and Territories Requiring Six Months of Licensure for Texas License Eligibility
Texas Massage Therapist License: Alaska, Arizona, California, Colorado, Connecticut, Delaware (300-hour program) Florida, Hawaii, Illinois, Indiana, Iowa, Maine, Maryland, Massachusetts, Mississippi, New Jersey, North Carolina, Oklahoma, Rhode Island, South Carolina and Virginia.

If you obtained your massage therapist license in one of these states, go here to apply for your Texas license.

Your six months of licensure will be confirmed by the letter of certification required from the state in which you are currently licensed (see #10 in the application instructions).",yes,NA,NA,yes,yes,yes,"500; 200 hours of massage therapy techniques and theory and the practice of manipulation of soft tissue,
with at least 125 hours of Swedish massage therapy techniques;
• 50 hours of anatomy;
• 25 hours of physiology;
• 50 hours of kinesiology;
• 40 hours of pathology;
• 20 hours of hydrotherapy;
• 45 hours of massage therapy laws and rules, business practices and professional ethics;
• 20 hours of health and hygiene, first aid, universal precautions, and cardiopulmonary resuscitation
(CPR);
• a 50-hour internship.",Yes; and a state jurisprudence exam,NA,yes,yes,yes,100,NA,NA,1,NA,NA,NA,NA,NA,NA,555,34.09090909,59757.33333,195904.4832,60629,28701845,12.3,73.5,2.7,0.5,5,0.1,39.6,720,11.86316794,24675.38931,747,18.29994135,38063.87801,586,38.53442341,80151.60069,506,16.8423913,35032.17391,763,15.84938401,32966.71874,739,16.77097429,34883.62652,470,18.1483871,37748.64516,756,17.97607143,37390.22857,670,22.38843284,46567.9403,740,25.8228021,53711.42838,547,59.6349441,124040.6837,816,49.71813725,85120.18321,569,25.93286219,62276.59007,498,31.24637681,64992.46377,682,44.23938224,92017.91506,565,31.26875,65039,433,34.84180139,72470.94688,680,26.98620588,174545.2294,480,48.69894737,101293.8105,445,47.7755814,99373.2093,1326,1083,1404,1276,1364,1277,1357,1513,916,1032,1381.623288,2076.931447,1679.863014
UT,Utah,"Yes by endorsement with similar paperwork to new applicants; https://le.utah.gov/xcode/Title58/Chapter1/58-1-S302.html?v=C58-1-S302_2020051220200512  Effective 5/12/2020
58-1-302.  License by endorsement.
(1)	Subject to Subsections (2), (3), (4), and (5), the division shall issue a license without examination to a person who has been licensed in a state, district, or territory of the United States if:
(a)	after being licensed outside of this state, the person has at least one year of experience in the state, district, or territory of the United States where the license was issued;
(b)	the person's license is in good standing in the state, district, or territory of the United States where the license was issued; and
(c)	the division determines that the license issued by the state, district, or territory of the United States encompasses a similar scope of practice as the license sought in this state.
(2)	The division, in consultation with the applicable licensing board, may make rules in accordance with Title 63G, Chapter 3, Utah Administrative Rulemaking Act, prescribing the administration and requirements of this section.
(3)	Notwithstanding the provisions of Subsection (1), the division may refuse to issue a license to a person under the provisions of this section if:
(a)	the division determines that there is reasonable cause to believe that the person is not qualified to receive a license in this state; or
(b)	the person has a previous or pending disciplinary action related to the person's license.
(4)	Before a person may be issued a license under this section, the person shall:
(a)	pay a fee determined by the department under Section 63J-1-504; and
(b)	produce satisfactory evidence of the person's identity, qualifications, and good standing in the occupation or profession for which licensure is sought.
(5)	In accordance with Section 58-1-107, licensure endorsement provisions in this section are subject to and may be supplemented or altered by licensure endorsement provisions or multistate licensure compacts in specific chapters of this title.
(6)	On or before October 1, 2022, the division shall provide a written report to the Business and Labor Interim Committee regarding the effectiveness and sufficiency of the provisions of this section at ensuring that persons receiving a license without examination under the provisions of this section are qualified to receive a license in this state.


Amended by Chapter 339, 2020 General Session
<< Previous Section (58-1-301.7)	Download Options  PDF  | RTF  | XML	Next Section (58-1-303) >>
Disclaimer: Printing should be done from the PDF version of this document and not straight from the browser as such may not display correctly.",yes,NA,NA,yes,yes,yes,"600; complete 1000 hours as apprentice or 125 hours of anatomy, physiology and kinesiology
40 hours of pathology
285 hours of massage theory and techniques, including basic Swedish and hands-on instruction
35 hours of ethics, professional standards, and businesses practices
15 hours of sanitation, universal precautions, CPR and first aid
100 hours of student clinic",yes,NA,yes,yes,yes,95,60,52,NA,NA,NA,NA,"2, all expire May 31st of odd numbered years, Massage therapist application processing fee: $95
Massage apprentice application processing fee: $70
Licensing fee: $60
Renewal fee: $52",NA,yes,617,37.71880065,42672.95597,319213.4516,71414,3161105,1.3,85.7,3.2,1.1,2.4,0.9,14.2,748,12.61363636,26236.36364,729,15.51423182,32269.60219,481,33.48414761,69647.02703,538,15.67936803,32613.0855,786,16.10653944,33501.60204,761,20.18886334,41992.83574,315,14.04761905,29219.04762,782,19.86436061,41317.87008,636,19.52730375,40616.79181,730,22.35048077,46489,598,40.48293711,84204.5092,789,57.24338403,91325.85868,613,20.40230832,72161.99021,417,25.37468514,52779.34509,568,NA,NA,598,26.30824373,54721.14695,231,27.5520362,57308.23529,754,57.67848806,168789.2573,240,59.86486486,124518.9189,126,58.96226415,122641.5094,1511,837,1443,1168,1294,1222,1421,1516,762,233,1352.252212,1798.964646,1544.384956
VT,Vermont,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,28.48387097,40000,193815.5455,60782,626299,1.2,94.1,2,0.3,1.9,0,2,583,12.30969479,25604.16517,463,14.06293706,29250.90909,30,17.5,36400,217,13.14906832,27350.06211,703,16.4697724,34257.1266,701,16.1167689,33522.87932,100,15.3,31824,743,18.72005384,38937.71198,424,18.5733945,38632.66055,717,21.58420413,44895.1446,119,33.65384615,70000,808,33.51878713,77217.09835,186,20.60843373,97500,104,15,31200,463,42.91544118,89264.11765,65,17.5,36400,72,31.5,65520,714,33.01647059,211482.3754,119,60.32894737,125484.2105,46,62.5,130000,714,245,851,448,520,589,575,1070,110,28,1699.230769,1768.75,1709.076923
VA,Virginia,"Yes by endorsement, see notes 2",yes,NA,NA,yes,yes,yes,500;,yes,NA,yes,yes,yes,140,NA,NA,NA,NA,NA,NA,NA,NA,yes,609,38.11412151,73639.81764,252271.3699,72577,8517685,19.2,67.4,4.1,0.3,6.5,0.1,9.5,653,11.59092649,24109.12711,703,15.06881223,31343.12945,602,27.81146179,57847.84053,614,17.37825733,36146.77524,686,18.75071429,39001.48571,682,15.1206085,31450.86569,456,18.22902494,37916.37188,689,18.12113933,37691.96981,615,26.06260163,54210.21138,705,22.33418951,46455.11418,607,46.84460184,97436.77183,742,55.08901617,100890.5283,597,18.44499162,94765.27722,325,29.26451613,60870.19355,617,62.45365854,129903.6098,568,36.53080986,75984.08451,412,27.30218447,56788.54369,673,23.49127043,171530.474,294,54.74147727,113862.2727,330,57.40166667,119395.4667,1338,635,1352,1245,1287,1302,1326,1731,682,546,1765.776536,2749.868644,2169.547486
WA,Washington,"Yes by endorsement; Licensing for out-of-state applicants
New rules for out-of-state applicants went into effect July 31, 2017 as follows:

WAC 246-830-035, Licensing for out-of-state applicants, allows for licensure by endorsement if the applicant holds a massage therapy license in good standing in another state, and the state’s education and training requirements are substantially equivalent to Washington State.

WAC 246-830-037, Transfer programs and transfer of prior education and clock hours, allows for licensure by educational endorsement if the applicant went to an out-of-state school, does not hold an out-of-state massage therapy license, and transferred credits to and successfully completed a board-approved transfer program.
",yes,NA,NA,NA,NA,NA,"500; completed in no less than six months and must consist of the following:

One hundred thirty hours of anatomy, physiology, and kinesiology with a minimum of 40 hours of kinesiology.
Fifty hours of pathology.
Two hundred sixty-five hours of theory and practice of massage. A maximum of 50 of these hours may include time spent in a student clinic.
Fifty-five hours of clinical/business practices.",yes,NA,yes,yes,yes,NA,NA,NA,1,NA,NA,24/2 years,NA,NA,yes,715,50.56993007,75429.56033,417702.8608,74073,7535591,3.9,74.8,6,1.3,8.8,0.7,12.9,723,14.40293914,29958.11342,715,17.43164336,36257.81818,554,48.1150722,100079.3502,678,18.27212389,38006.0177,797,18.1943601,37844.26901,773,22.09120957,45949.71591,471,28.72558386,59749.21444,788,22.86590102,47561.07411,675,34.10937778,70947.50578,765,31.98827552,66535.61307,611,64.05635505,133237.2185,828,47.54566425,99337.09662,668,21.5239521,85679.29042,613,49.17781403,102289.8532,652,45.28429476,94191.33309,689,44.78447025,93151.69811,407,27.1541769,56480.68796,810,26.29432716,135183.5648,493,53.9979716,112315.7809,480,56.25364583,117007.5833,1560,1305,1527,1454,1508,1500,1514,1511,1256,513,1985.145129,3174.703242,2435.77833
WV,West Virginia,"yes; For application using Reciprocity, please provide us with a copy of your current license from the State where you practice along with copies of your current continuing education units (certificates) if licensed over two year and proof of the successful completion of the NCBTMB exam or MBLEx examination sent directly from the national organization.  http://www.wvmassage.org/faq.asp?show=q1#q1",yes,NA,NA,yes,yes,NA,500;,yes,NA,yes,yes,yes,50,300,200,NA,14 days,NA,24/2 years,2,NA,yes,120,28.18421053,46428.57143,82370,44097,1805832,3.8,93,1.9,0.1,0.7,0,1.4,648,10.24385666,21307.22184,687,14.06200318,29248.96661,120,14.38235294,29915.29412,185,12.48901099,25977.14286,700,14.21067857,29558.21143,666,12.58686186,26180.67267,90,12.30555556,25595.55556,761,24.50982917,50980.44468,490,19.20899471,39954.70899,626,23.45591285,48788.29872,172,33.65384615,70000,825,30.96922424,69089.80848,196,11.94615385,62952.33133,67,32.71052632,68037.89474,451,36.9491791,76854.29254,90,20,41600,85,28.92352941,60160.94118,680,29.65514706,203682.1301,109,24.43820225,50831.46067,67,28.08510638,58417.02128,522,238,450,346,294,486,231,1265,299,53,946.8125,1378.727273,1001.614583
WI,Wisconsin,"yes stated as reciprocity, but the rules and checklist the same as the new applicants and must have same school hours of education, no mention of work history experience or having been licensed for so many months or years if under on hours. https://dsps.wi.gov/Credentialing/Health/fm2960.pdf  Also, with a 6 month temporary permit",yes,NA,NA,yes,yes,yes,600;,"yes, and a state jurisprudence exam with 85% score or better",NA,yes,yes,yes,75,"75, new applicants; 82, reciprocity applicants",62,1,NA,NA,NA,"2, every odd year on 2/28",yes,yes,400,39.93037975,44366.42453,170618.9615,60773,5813568,6.4,85.3,2.5,0.9,2.8,0,6.9,701,10.6664408,22186.19686,738,14.81856369,30822.61247,509,28.11466942,58478.5124,295,14.33392857,29814.57143,787,16.46394536,34245.00635,725,15.22089655,31659.46483,256,18.25585938,37972.1875,777,18.16827542,37790.01287,626,25.18876611,52392.63352,762,22.89297774,47617.3937,451,43.14761641,89747.04213,806,49.558933,90267.31266,448,16.04910714,61284.74282,300,38.46885813,80015.22491,603,44.79411765,93171.76471,251,25.89140777,53854.12816,90,27.68333333,57581.33333,756,23.03472222,164547.3275,134,60.12254902,125054.902,130,60.19047619,125196.1905,1417,435,1320,843,1019,951,933,1517,592,289,1569.52669,2017.280992,1766.702847
WY,Wyoming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,25,NA,240742.7143,61584,577737,0.6,91.5,2.4,2.8,1,0.2,10,417,11.20774924,23312.11843,245,10.82083333,22507.33333,25,NA,NA,53,16.91981132,35193.20755,327,15.06764526,31340.70214,466,13.71693133,28531.21717,60,17.77272727,36967.27273,662,16.96877644,35295.05498,381,13.97483871,29067.66452,487,27.14262701,56456.66418,145,53.65778245,111608.1875,744,51.7712164,98225.75084,46,20,90506.64634,49,47.5,98800,249,42.4953271,88390.28037,45,15,31200,82,27.39634146,56984.39024,479,39.69244259,217525.7565,10,62.5,130000,10,62.5,130000,260,177,317,184,138,188,193,562,68,30,846.36,1013,875.08
